1,1,ЖИВЫЕ ЖИВОТНЫЕ
2,2,МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ
3,3,"РЫБЫ И РАКООБРАЗНЫЕ,МОЛЛЮСКИ И ДРУГИЕ ВОДНЫЕ БЕСПОЗВОНОЧНЫЕ"
4,4,МОЛОЧНАЯ ПРОДУКЦИЯ;ЯЙЦА ПТИЦ;МЕД НАТУРАЛЬНЫЙ;ПИЩЕВЫЕ ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖ
5,5,"ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ,В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕН"
6,6,"ЖИВЫЕ ДЕРЕВЬЯ И ДРУГИЕ РАСТЕНИЯ;ЛУКОВИЦЫ,КОРНИ И ПРОЧИЕ АНАЛОГИЧНЫЕ ЧАСТИ РАСТЕН"
7,7,ОВОЩИ И НЕКОТОРЫЕ СЪЕДОБНЫЕ КОРНЕПЛОДЫ И КЛУБНЕПЛОДЫ
8,8,СЪЕДОБНЫЕ ФРУКТЫ И ОРЕХИ;КОЖУРА И КОРКИ ЦИТРУСОВЫХ ИЛИ ДЫНЬ
9,9,"КОФЕ, ЧАЙ, МАТЕ ИЛИ ПАРАГВАЙСКИЙ ЧАЙ И ПРЯНОСТИ"
10,10,ЗЛАКИ
11,11,ПРОДУКЦИЯ МУКОМОЛЬНО-КРУПЯНОЙ ПРОМЫШЛЕННОСТИ;СОЛОД;КРАХМАЛ;ИНУЛИН;ПШЕНИЧНАЯ КЛЕЙ
12,12,"МАСЛИЧНЫЕ СЕМЕНА И ПЛОДЫ;ПРОЧИЕ СЕМЕНА,ПЛОДЫ И ЗЕРНО;ЛЕКАРСТВЕННЫЕ РАСТЕНИЯ И РА"
13,13,"ШЕЛЛАК ПРИРОДНЫЙ НЕОЧИЩЕННЫЙ;КАМЕДИ,СМОЛЫ И ПРОЧИЕ РАСТИТЕЛЬНЫЕ СОКИ И ЭКСТРАКТЫ"
14,14,РАСТИТЕЛЬНЫЕ МАТЕРИАЛЫ ДЛЯ ИЗГОТОВЛЕНИЯ ПЛЕТЕНЫХ ИЗДЕЛИЙ;ПРОЧИЕ ПРОДУКТЫ РАСТИТЕ
15,15,ЖИРЫ И МАСЛА ЖИВОТНОГО ИЛИ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ И ПРОДУКТЫ ИХ РАСЩЕПЛЕНИЯ
16,16,"ГОТОВЫЕ ПРОДУКТЫ ИЗ МЯСА,РЫБЫ ИЛИ РАКООБРАЗНЫХ,МОЛЛЮСКОВ ИЛИ ПРОЧИХ ВОДНЫХ БЕСПО"
17,17,САХАР И КОНДИТЕРСКИЕ ИЗДЕЛИЯ ИЗ САХАРА
18,18,КАКАО И ПРОДУКТЫ ИЗ НЕГО
19,19,"ГОТОВЫЕ ПРОДУКТЫ ИЗ ЗЕРНА ЗЛАКОВ,МУКИ,КРАХМАЛА ИЛИ МОЛОКА;МУЧНЫЕ КОНДИТЕРСКИЕ ИЗ"
20,20,"ПРОДУКТЫ ПЕРЕРАБОТКИ ОВОЩЕЙ,ФРУКТОВ,ОРЕХОВ ИЛИ ПРОЧИХ ЧАСТЕЙ РАСТЕНИЙ"
21,21,РАЗНЫЕ ПИЩЕВЫЕ ПРОДУКТЫ
22,22,АЛКОГОЛЬНЫЕ И БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ И УКСУС
23,23,ОСТАТКИ И ОТХОДЫ ПИЩЕВОЙ ПРОМЫШЛЕННОСТИ;ГОТОВЫЕ КОРМА ДЛЯ ЖИВОТНЫХ
24,24,ТАБАК И ПРОМЫШЛЕННЫЕ ЗАМЕНИТЕЛИ ТАБАКА
25,25,"СОЛЬ;СЕРА;ЗЕМЛИ И КАМЕНЬ;ШТУКАТУРНЫЕ МАТЕРИАЛЫ,ИЗВЕСТЬ И ЦЕМЕНТ"
26,26,"РУДЫ,ШЛАКИ И ЗОЛА"
27,27,"ТОПЛИВО МИНЕРАЛЬНОЕ,НЕФТЬ И ПРОДУКТЫ ИХ ПЕРЕГОНКИ;БИТУМИНОЗНЫЕ ВЕЩЕСТВА;ВОСКИ МИ"
28,28,ПРОДУКТЫ НЕОРГАНИЧЕСКОЙ ХИМИИ;СОЕДИНЕНИЯ НЕОРГАНИЧЕСКИЕ ИЛИ ОРГАНИЧЕСКИЕ ДРАГОЦЕ
29,29,ОРГАНИЧЕСКИЕ ХИМИЧЕСКИЕ СОЕДИНЕНИЯ
30,30,ФАРМАЦЕВТИЧЕСКАЯ ПРОДУКЦИЯ
31,31,УДОБРЕНИЯ
32,32,"ЭКСТРАКТЫ ДУБИЛЬНЫЕ ИЛИ КРАСИЛЬНЫЕ;ТАННИНЫ И ИХ ПРОИЗВОДНЫЕ;КРАСИТЕЛИ,ПИГМЕНТЫ И"
33,33,"ЭФИРНЫЕ МАСЛА И РЕЗИНОИДЫ;ПАРФЮМЕРНЫЕ,КОСМЕТИЧЕСКИЕ И ТУАЛЕТНЫЕ СРЕДСТВА"
34,34,"МЫЛО,ПОВЕРХНОСТНО-АКТИВНЫЕ ОРГАНИЧЕСКИЕ ВЕЩЕСТВА,МОЮЩИЕ СРЕДСТВА,СМАЗОЧНЫЕ МАТЕР"
35,35,БЕЛКОВЫЕ ВЕЩЕСТВА;МОДИФИЦИРОВАННЫЕ КРАХМАЛЫ;КЛЕИ;ФЕРМЕНТЫ
36,36,ВЗРЫВЧАТЫЕ ВЕЩЕСТВА;ПИРОТЕХНИЧЕСКИЕ ИЗДЕЛИЯ;СПИЧКИ;ПИРОФОРНЫЕ СПЛАВЫ;НЕКОТОРЫЕ
37,37,ФОТО- И КИНОТОВАРЫ
38,38,ПРОЧИЕ ХИМИЧЕСКИЕ ПРОДУКТЫ
39,39,ПЛАСТМАССЫ И ИЗДЕЛИЯ ИЗ НИХ
40,40,"КАУЧУК,РЕЗИНА И ИЗДЕЛИЯ ИЗ НИХ"
41,41,НЕОБРАБОТАННЫЕ ШКУРЫ (КРОМЕ НАТУРАЛЬНОГО МЕХА) И ВЫДЕЛАННАЯ КОЖА
42,42,"ИЗДЕЛИЯ ИЗ КОЖИ;ШОРНО-СЕДЕЛЬНЫЕ ИЗДЕЛИЯ И УПРЯЖЬ;ДОРОЖНЫЕ ПРИНАДЛЕЖНОСТИ,ДАМСКИЕ"
43,43,НАТУРАЛЬНЫЙ И ИСКУСТВЕННЫЙ МЕХ;ИЗДЕЛИЯ ИЗ НЕГО
44,44,ДРЕВЕСИНА И ИЗДЕЛИЯ ИЗ НЕЕ;ДРЕВЕСНЫЙ УГОЛЬ
45,45,ПРОБКА И ИЗДЕЛИЯ ИЗ НЕЕ
46,46,"ИЗДЕЛИЯ ИЗ СОЛОМЫ,АЛЬФЫ ИЛИ ПРОЧИХ МАТЕРИАЛОВ ДЛЯ ПЛЕТЕНИЯ;КОРЗИНОЧНЫЕ ИЗДЕЛИЯ И"
47,47,МАССА ИЗ ДРЕВЕСИНЫ ИЛИ ИЗ ДРУГИХ ВОЛОКНИСТЫХ ЦЕЛЮЛЛОЗНЫХ МАТЕРИАЛОВ;РЕГЕНИРИРУЕМ
48,48,"БУМАГА И КАРТОН;ИЗДЕЛИЯ ИЗ БУМАЖНОЙ МАССЫ,БУМАГИ ИЛИ КАРТОНА"
49,49,"ПЕЧАТНЫЕ КНИГИ,ГАЗЕТЫ,РЕПРОДУКЦИИ И ДРУГИЕ ИЗДЕЛИЯ ПОЛИГРАФИЧЕСКОЙ ПРОМЫШЛЕННОСТ"
50,50,ШЕЛК
51,51,"ШЕРСТЬ,ТОНКИЙ ИЛИ ГРУБЫЙ ВОЛОС ЖИВОТНЫХ;ПРЯЖА И ТКАНЬ ИЗ КОНСКОГО ВОЛОСА"
52,52,ХЛОПОК
53,53,ПРОЧИЕ РАСТИТЕЛЬНЫЕ ТЕКСТИЛЬНЫЕ ВОЛОКНА;БУМАЖНАЯ ПРЯЖА И ТКАНИ ИЗ БУМАЖНОЙ ПРЯЖИ
54,54,ХИМИЧЕСКИЕ НИТИ
55,55,ХИМИЧЕСКИЕ ВОЛОКНА
56,56,"ВАТА,ВОЙЛОК ИЛИ ФЕТР И НЕТКАНЫЕ МАТЕРИАЛЫ;СПЕЦИАЛЬНАЯ ПРЯЖА;БЕЧЕВКИ,ВЕРЕВКИ,КАНА"
57,57,КОВРЫ И ПРОЧИЕ ТЕКСТИЛЬНЫЕ НАПОЛЬНЫЕ ПОКРЫТИЯ
58,58,СПЕЦИАЛЬНЫЕ ТКАНИ;ТАФТИНГОВЫЕ ТЕКСТИЛЬНЫЕ МАТЕРИАЛЫ;КРУЖЕВА; ГОБЕЛЕНЫ; ОТДЕЛОЧНЫ
59,59,"ТЕКСТИЛЬНЫЕ МАТЕРИАЛЫ,ПРОПИТАННЫЕ,С ПОКРЫТИЕМ ИЛИ ДУБЛИРОВАННЫЕ;ТЕКСТИЛЬНЫЕ ИЗДЕ"
60,60,ТРИКОТАЖНЫЕ ПОЛОТНА МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ
61,61,"ПРЕДМЕТЫ ОДЕЖДЫ И ПРИНАДЛЕЖНОСТИ К ОДЕЖДЕ ТРИКОТАЖНЫЕ,МАШИННОГО ИЛИ РУЧНОГО ВЯЗ"
62,62,"ПРЕДМЕТЫ ОДЕЖДЫ И ПРИНАДЛЕЖНОСТИ К ОДЕЖДЕ,КРОМЕ ТРИКОТАЖНЫХ,МАШИННОГО ИЛИ РУЧНО"
63,63,"ПРОЧИЕ ГОТОВЫЕ ТЕКСТИЛЬНЫЕ ИЗДЕЛИЯ;НАБОРЫ;ОДЕЖДА И ТЕКСТИЛЬНЫЕ ИЗДЕЛИЯ,БЫВШИЕ В"
64,64,"ОБУВЬ,ГЕТРЫ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ;ИХ ЧАСТИ"
65,65,ГОЛОВНЫЕ УБОРЫ И ИХ ЧАСТИ
66,66,"ЗОНТЫ,СОЛНЦЕЗАЩИТНЫЕ ЗОНТЫ,ТРОСТИ,ТРОСТИ-СИДЕНИЯ,ХЛЫСТЫ,КНУТЫ ДЛЯ ВЕРХОВОЙ ЕЗДЫ"
67,67,ОБРАБОТАННЫЕ ПЕРЬЯ И ПУХ И ИЗДЕЛИЯ ИЗ ПЕРЬЕВ ИЛИ ПУХА;ИСКУССТВЕННЫЕ ЦВЕТЫ;ИЗДЕ-
68,68,"ИЗДЕЛИЯ ИЗ КАМНЯ,ГИПСА,ЦЕМЕНТА,АСБЕСТА,СЛЮДЫ ИЛИ АНАЛОГИЧНЫХ МАТЕРИАЛОВ"
69,69,КЕРАМИЧЕСКИЕ ИЗДЕЛИЯ
70,70,СТЕКЛО И ИЗДЕЛИЯ ИЗ НЕГО
71,71,"ЖЕМЧУГ ПРИРОДНЫЙ ИЛИ КУЛЬТИВИРОВАННЫЙ,ДРАГОЦЕННЫЕ ИЛИ ПОЛУДРАГОЦЕННЫЕ КАМНИ,ДРАГ"
72,72,ЧЕРНЫЕ МЕТАЛЛЫ
73,73,ИЗДЕЛИЯ ИЗ ЧЕРНЫХ МЕТАЛЛОВ
74,74,МЕДЬ И ИЗДЕЛИЯ ИЗ НЕЕ
75,75,НИКЕЛЬ И ИЗДЕЛИЯ ИЗ НЕГО
76,76,АЛЮМИНИЙ И ИЗДЕЛИЯ ИЗ НЕГО
77,78,СВИНЕЦ И ИЗДЕЛИЯ ИЗ НЕГО
78,79,ЦИНК И ИЗДЕЛИЯ ИЗ НЕГО
79,80,ОЛОВО И ИЗДЕЛИЯ ИЗ НЕГО
80,81,ПРОЧИЕ НЕДРАГОЦЕННЫЕ МЕТАЛЛЫ;МЕТАЛЛОКЕРАМИКА;ИЗДЕЛИЯ ИЗ НИХ
81,82,"ИНСТРУМЕНТЫ,ПРИСПОСОБЛЕНИЯ,НОЖЕВЫЕ ИЗДЕЛИЯ,ЛОЖКИ И ВИЛКИ ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛ"
82,83,ПРОЧИЕ ИЗДЕЛИЯ ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ
83,84,"РЕАКТОРЫ ЯДЕРНЫЕ,КОТЛЫ,ОБОРУДОВАНИЕ И МЕХАНИЧЕСКИЕ УСТРОЙСТВА;ИХ ЧАСТИ"
84,85,"ЭЛЕКТРИЧЕСКИЕ МАШИНЫ И ОБОРУДОВАНИЕ,ИХ ЧАСТИ;ЗВУКОЗАПИСЫВАЮЩАЯ И ЗВУКОВОСПРОИЗВО"
85,86,"ЖЕЛЕЗНОДОРОЖНЫЕ ЛОКОМОТИВЫ ИЛИ МОТОРНЫЕ ВАГОНЫ ТРАМВАЯ,ПОДВИЖНОЙ СОСТАВ И ИХ ЧАС"
86,87,"СРЕДСТВА НАЗЕМНОГО ТРАНСПОРТА,КРОМЕ ЖЕЛЕЗНОДОРОЖНОГО ИЛИ ТРАМВАЙНОГО ПОДВИЖНОГО"
87,88,"ЛЕТАТЕЛЬНЫЕ АППАРАТЫ,КОСМИЧЕСКИЕ АППАРАТЫ, И ИХ ЧАСТИ"
88,89,"СУДА,ЛОДКИ И ДРУГИЕ ПЛАВУЧИЕ КОНСТРУКЦИИ"
89,90,"ИНСТРУМЕНТЫ И АППАРАТЫ ОПТИЧЕСКИЕ,ФОТОГРАФИЧЕСКИЕ,КИНЕМАТОГРАФИЧЕСКИЕ,ИЗМЕРИТЕЛЬ"
90,91,ЧАСЫ ВСЕХ ВИДОВ И ИХ ЧАСТИ
91,92,ИНСТРУМЕНТЫ МУЗЫКАЛЬНЫЕ;ИХ ЧАСТИ И ПРИНАДЛЕЖНОСТИ
92,93,ОРУЖИЕ И БОЕПРИПАСЫ;ИХ ЧАСТИ И ПРИНАДЛЕЖНОСТИ
93,94,"МЕБЕЛЬ; ПОСТЕЛЬНЫЕ ПРИНАДЛЕЖНОСТИ,МАТРАЦЫ,ОСНОВЫ МАТРАЦНЫЕ,ДИВАННЫЕ ПОДУШКИ И АН"
94,95,"ИГРУШКИ,ИГРЫ И СПОРТИВНЫЙ ИНВЕНТАРЬ;ИХ ЧАСТИ И ПРИНАДЛЕЖНОСТИ"
95,96,РАЗНЫЕ ГОТОВЫЕ ИЗДЕЛИЯ
96,97,"ПРОИЗВЕДЕНИЯ ИСКУССТВА,ПРЕДМЕТЫ КОЛЛЕКЦИОНИРОВАНИЯ И АНТИКВАРИАТ"
