701,Государственные службы общего назначения
7011,"Исполнительные и законодательные органы, бюджетно-финансовые вопросы, международные отношения."
70111,Исполнительные и законодательные органы
70112,Бюджетно-финансовые вопросы
70113,Международные отношения
7012,Иностранная экономическая помощь
70121,Иностранная экономическая помощь
7013,Общие службы
70131,Общие вопросы кадрового обслуживания
70132,Службы планирования и статистические службы общего назначения
70133,Прочие общие службы
70134,Службы по переписи населения
7014,Фундаментальные исследования
70141,Фундаментальные исследования
7015,"Научные исследования и опытно-конструкторские разработки, связанные с государственными службами общего назначения"
70151,"Научные исследования и опытно-конструкторские разработки, связанные с государственными службами общего назначения"
7016,"Государственные службы общего назначения, не отнесенные к другим категориям"
70161,Выборы и проведение референдумов 
70162,Драгоценные металлы 
70163,Прочие учреждения общего назначения
70169,"Другие услуги государственной службы общего назначения, не отнесенные к другим категориям"
7017,"Операции, связанные с государственным долгом и ценными бумагами"
70171,"Операции, связанные с погашением государственного долга и ценных бумаг"
70172,Основные суммы государственного долга и ценных бумаг
7018,Трансферты общего характера между органами государственного управления различного уровня
70181,Категориальные гранты
70182,Выравнивающие гранты
70183,Ссуды местным бюджетам
70184,"Средства, направляемые из республиканского бюджета на повышение заработной платы учреждениям, находящимся на местном бюджете "
70185,"Средства, направляемые из республиканского бюджета на питание учащихся 1-4 классов учреждений, находящихся на местном бюджете "
70186,"Прочие средства, передаваемые по взаимным расчетам из республиканского бюджета в местный бюджет"
702,Оборона
7021,Вооруженные силы
70211,"Воинские соединения, части и учреждения"
70213,Пограничная служба 
70215,Другие оборонные формирования
7022,Мероприятия по гражданской защите и чрезвычайным ситуациям
70221,Гражданская защита
70222,Чрезвычайные ситуации
70223,Прочие мероприятия по гражданской защите и чрезвычайным ситуациям
7023,Иностранная военная помощь
70231,Иностранная военная помощь
7024,Научные исследования и опытно-конструкторские разработки в области обороны
70241,Научные исследования и опытно-конструкторские разработки в области обороны
7025,"Вопросы обороны, не отнесенные к другим категориям"
70253,"Прочие услуги в области обороны, не отнесенные к другим категориям"
70259,Другие услуги в области обороны
703,Общественный порядок и безопасность
7031,Правоохранительные органы
70311,Органы внутренних дел
70312,Подразделения органов внутренних дел
70313,Органы национальной безопасности 
70314,Таможенные органы          
70315,Службы по контролю наркотиков
70316,Службы финансовой полиции 
70317,Органы государственной охраны 
70319,Прочие услуги правоохранительных органов
7032,Пожарная охрана
70321,Пожарная охрана
7033,Суды
70331,Конституционный суд
70332,Верховный суд
70333,Судебные органы 
70337,Омбудсмен
70338,Прокуратура 
70339,Прочие услуги судебных органов
7034,Тюрьмы
70341,Тюрьмы
7036,"Вопросы общественного порядка и безопасности, не отнесенные к другим категориям"
70361,Инспекции по делам несовершеннолетних
70362,Приемники-распределители для несовершеннолетних
70363,Приемники-распределители для взрослых
70364,Исполнение решений суда 
70365,Мероприятия по предупреждению жестокого обращения
70369,Другие услуги учреждений общественного порядка и безопасности
704,Экономические вопросы
7041,Общие экономические вопросы и делимитация границ
70411,Общие экономические вопросы
70412,Делимитация границ
70413,Мероприятия в рамках Всемирной торговой организации
7042,"Сельское хозяйство, лесное хозяйство, рыболовство и охота"
70421,Сельское хозяйство
70422,Лесное хозяйство
70423,Рыболовство и охота
70424,Водное хозяйство и мелиорация
70429,Прочие услуги сельского хозяйства
7043,Топливо и энергетика
70431,Уголь и другие виды твердого минерального топлива
70432,Нефть и природный газ
70435,Электроэнергия
70436,"Энергия, за исключением электроэнергии"
7044,"Горнодобывающая промышленность, обрабатывающая промышленность и строительство"
70441,"Добыча минеральных ресурсов, за исключением минерального топлива"
70442,Обрабатывающаяся промышленность
70443,Строительство
70444,"Прочие услуги в горнодобывающей промышленности, обрабатывающей промышленности и строительстве"
7045,Транспорт
70451,Автодорожный транспорт
70452,Водный транспорт
70453,Железнодорожный транспорт
70454,Воздушный транспорт
70459,Прочие транспортные услуги
7046,Связь
70461,Фельдслужба
70462,Информационно-коммуникационные технологии
70469,Прочие услуги связи
7047,Другие отрасли экономической деятельности
70473,Туризм
7048,"НИОКР, связанные с экономической деятельностью"
70481,"НИОКР, связанные с общими экономическими вопросами"
70482,"НИОКР в области сельского хозяйства, лесного хозяйства, рыболовства и охоты"
70483,НИОКР в области топлива и энергетики
70484,"НИОКР связанные с горнодобывающей промышленностью, обрабатывающей промышленностью и строительством"
70485,НИОКР в области транспорта
70486,НИОКР в области связи
70487,"НИОКР, связанные с другими отраслями экономической деятельности"
7049,"Экономические вопросы, не отнесенные к другим категориям"
70491,"Экономические вопросы, не отнесенные к другим категориям"
70499,Другие услуги по экономическим вопросам
705,Охрана окружающей среды
7051,Организация сбора и удаления отходов
70511,Организация сбора и удаления отходов
70512,Дезактивация и захоронение радиоактивных отходов
7052,Удаление и очистка сточных вод
70521,Удаление и очистка сточных вод
7053,Борьба с загрязнением окружающей среды
70531,Борьба с загрязнением окружающей среды
7054,Защита биоразнообразия и охрана ландшафта
70541,Природные парки и заповедники
70542,Охрана животных
70543,Охрана растений
70544,Противоэпизоотические мероприятия
70545,Ветеринарная диагностика
70546,"Химизация, защита и карантин растений"
70549,Прочие услуги по защите биоразнообразия и охране ландшафта
7055,Научные исследования и опытно-конструкторские разработки в области охраны окружающей среды
70551,Научные исследования и опытно-конструкторские разработки в области охраны окружающей среды
7056,"Вопросы охраны окружающей среды, не отнесенные к другим категориям"
70561,"Вопросы охраны окружающей среды, не отнесенные к другим категориям"
70569,Другие услуги по охране окружающей среды 
706,Жилищные и коммунальные услуги
7062,Жилищные и коммунальные услуги
70621,Жилищно-коммунальные союзы 
70622,Теплокоммунэнерго
70624,Комбинаты коммунальных предприятий и ритуальных услуг
70629,Прочие жилищные и коммунальные услуги 
7063,Водоснабжение
70631,Водоснабжение
7064,Освещение улиц
70641,Освещение улиц
7066,"Жилищные и коммунальные услуги, не отнесенные к другим категориям"
70661,"Жилищные и коммунальные услуги, не отнесенные к другим категориям"
70669,Другие  жилищные и коммунальные услуги
707,Здравоохранение
7071,"Медицинские изделия, оборудование и аппаратура"
70711,"Медицинские изделия, оборудование и аппаратура"
7072,Амбулаторные услуги
70721,Медицинские услуги общего профиля
70722,Специализированные медицинские услуги
70723,Стоматологические услуги
7073,Услуги больниц
70731,Услуги больниц общего профиля
70732,Услуги специализированных больниц
70733,"Услуги медицинских центров, гинекологических больниц и родильных домов"
70734,Услуги санаториев и домов для выздаравливающих
70735,Услуги больниц и центров восстановительного лечения для детей
7074,Услуги в области здравоохранения
70741,Станции скорой и неотложной помощи
70742,Станции переливания крови
70743,Санитарно-эпидемиологические станции и центры карантийных и опасных инфекций
70744,Дезинфекционные станции
70745,Мероприятия по борьбе с эпидемиями
70746,"Дома ребенка, комнаты матери и ребенка"
70747,Центры по борьбе со СПИДом
70748,Центры здоровья и мероприятия по санитарному просвещению
70749,Прочие услуги в области здравоохранения
7075,Научные исследования и опытно-конструкторские разработки в области здравоохранения
70751,Научные исследования и опытно-конструкторские разработки в области здравоохранения
7076,"Вопросы здравоохранения, не отнесенные к другим категориям"
70761,"Вопросы здравоохранения, не отнесенные к другим категориям"
70769,Другие услуги вобласти здравоохранения
708,"Отдых, культура и религия"
7081,Услуги по организации отдыха и занятий спортом
70811,Содержание и управление использованием спортивных объектов и объектов отдыха
70812,Спортивные учреждения и центры
70813,"Услуги, связанные с организацией спортивных мероприятий"
7082,Услуги в области культуры
70821,Библиотеки
70822,Музеи и выставки
70823,"Дворцы и дома культуры, клубы"
70824,"Театры, кинотеатры, филармонии, музыкальные коллективы, ансамбли "
70825,Прочие мероприятия по культуре
7083,"Услуги, связанные с радио- и телевизионным вещанием и издательским делом"
70831,Телерадиовещательные компании
70832,Издательства и редакции
7084,"Услуги, связанные с религией, и другие общественные услуги"
70841,"Услуги, связанные с религией, и другие общественные услуги"
7085,"НИОКР в области  отдыха, культуры и религии"
70851,"НИОКР в области  отдыха, культуры и религии"
7086,"Вопросы отдыха, спорта, культуры и религии, не отнесенные к другим категориям"
70861,"Услуги, связанные с реализацией молодежной политики"
70862,"Вопросы отдыха, спорта, культуры и религии, не отнесенные к другим категориям"
70868,Другие услуги по вопросам спорта 
70869,"Другие услуги по вопросам отдыха, культуры и религии"
709,Образование
7091,Дошкольное образование
70911,Дошкольное образование
7092,Среднее образование
70921,Среднее образование - общеобразовательные программы 
70922,Среднее профессионально-техническое образование
70923,Начальное образование - Общеобразовательные программые
7093,Продолженное среднее образование
70931,Продолженное среднее образование
7094,Высшее образование
70941,"Высшее образование, не ведущее к получению диплома"
70942,"Университеты и другие учебные заведения, дающие высшее образование"
7095,"Образование, не подразделенное по ступеням"
70951,Дополнительное образование и методическая работа 
70952,Повышение квалификации
7096,Вспомогательные услуги в системе образования
70961,Учреждения/мероприятия по внешкольной работе с детьми 
70962,Детские дома
70963,Музыкальные школы
70964,Специальные детские учебные учреждения
70965,Детские оздоровительные организации
7097,НИОКР в области образования
70971,НИОКР в области образования
7098,"Вопросы образования, не отнесенные к другим категориям"
70981,"Вопросы образования, не отнесенные к другим категориям"
70988,Другие услуги в области дошкольного образования
70989,Другие услуги в области среднего и высшего образования
710,Социальная защита
7101,Заболевания и нетрудоспособность
71011,Заболевания 
71012,Нетрудоспособность
7102,Старость
71021,Дома престарелых
71022,Социальный фонд
71023,Управление делами ветеранов войны и труда
7103,"Иждивенцы, оставшиеся без кормильца"
71031,"Иждивенцы, оставшиеся без кормильца"
7104,Семья и дети
71041,Детские учреждения-интернаты
71042,Прочие учреждения интернатского типа
71049,Прочие услуги по вопросам семьи и детей
7105,Безработица
71051,Безработица
7106,Жилье
71061,Жилье
7107,"Вопросы социальной неустроенности, не отнесенные к другим категориям"
71071,"Вопросы социальной неустроенности, не отнесенные к другим категориям"
7108,Научные исследования и опытно-конструкторские разработки в области социальной защиты
71081,Научные исследования и опытно-конструкторские разработки в области социальной защиты
7109,"Вопросы социальной защиты, не отнесенные к другим категориям"
71091, Мероприятия по социальной защите населения
71092,Отделы социальной защиты и выплатные центры 
71093,"Услуги социальной защиты, оказываемые не через учреждения интернатского типа"
71099,Другие услуги в области социальной защиты
